axis	diff_a_b	p
('antimagnetic', 'magnetic')	0.0007322475902979044	0.032
('breathing', 'breathless')	0.0007314214793567031	0.001
('improved', 'unimproved')	0.0007218122194308282	0.025
('lower-class', 'middle-class')	0.0007192309567535821	0.046
('irreconcilable', 'reconcilable')	0.0007180761511496984	0.001
('cross-eyed', 'walleyed')	0.0007150504835142573	0.0
('live', 'recorded')	0.0007138317208115145	0.001
('adjusted', 'maladjusted')	0.0007128307927176183	0.03
('bloodless', 'bloody')	0.0007005587721082233	0.011
('likely', 'unlikely')	0.0006980167583642873	0.008
('calculable', 'incalculable')	0.0006956911481154964	0.0
('misused', 'used')	0.0006883588572829703	0.044
('inoffensive', 'offensive')	0.0006854556385326362	0.026
('commercial', 'noncommercial')	0.0006805210924133148	0.033
('merited', 'unmerited')	0.0006790688314768922	0.0
('mated', 'unmated')	0.0006782099399432438	0.022
('metallic', 'nonmetallic')	0.0006728274322013485	0.021
('groomed', 'ungroomed')	0.0006713992686404636	0.036
('concealing', 'revealing')	0.0006589726103051839	0.002
('ambidextrous', 'left-handed')	0.0006541518393340592	0.0
('attached', 'detached')	0.0006496197312094998	0.002
('ambidextrous', 'right-handed')	0.0006408452827729007	0.0
('common', 'uncommon')	0.0006377842097050855	0.016
('elastic', 'inelastic')	0.0006357528181751247	0.015
('bipolar', 'unipolar')	0.0006312654871321825	0.012
('determined', 'undetermined')	0.0006293337912340498	0.026
('interstate', 'intrastate')	0.0006268187689116769	0.008
('intrusive', 'protrusive')	0.0006211362183584593	0.035
('nonrepresentational', 'representational')	0.0006209284115083827	0.022
('aware', 'unaware')	0.0006206211761645587	0.047
('horizontal', 'inclined')	0.0006191564502595788	0.012
('beneficent', 'maleficent')	0.0006187536407395392	0.006
('congruous', 'incongruous')	0.0006183189339971978	0.012
('dysphoric', 'euphoric')	0.0006173889813297223	0.007
('multiform', 'uniform')	0.0006155217716791485	0.012
('continental', 'intercontinental')	0.0006104667408576145	0.0
('expressible', 'inexpressible')	0.0006031118607862339	0.0
('finite', 'infinite')	0.000590245236606197	0.001
('immeasurable', 'measurable')	0.0005899938525946698	0.007
('acknowledged', 'unacknowledged')	0.0005864756569466164	0.041
('unwritten', 'written')	0.0005859945106174418	0.02
('conductive', 'nonconductive')	0.0005853966681663679	0.041
('east', 'west')	0.000581122602817067	0.0
('forte', 'piano')	0.0005782605423629659	0.003
('armored', 'unarmored')	0.0005782359493249779	0.036
('plowed', 'unplowed')	0.0005770538790543459	0.015
